Data;IPCA ;EMBI+Br ;Ibovespa ;Taxa câmbio nominal ;IBC-br (pontos com ajuste sazonal) ;DIxPré 3 meses ;DixPré 5 anos;DixPre 10 anos 
01/2020;0.0021;225;113760.57;4.15;139.54;0.0422;0.0577;0.066
02/2020;0.0025;252;104171.57;4.34;140.43;0.0413;0.0561;0.0664
03/2020;0.0007;389;73019.76;4.88;131.11;0.0347;0.0587;0.0751
04/2020;-0.0031;422;80505.89;5.33;118.31;0.0305;0.055;0.0747
05/2020;-0.0038;392;87402.59;5.64;121.07;0.0245;0.0514;0.0703
06/2020;0.0026;380;95055.82;5.2;127.18;0.021;0.049;0.0676
07/2020;0.0036;334;102912.24;5.28;131.03;0.0195;0.0458;0.0622
08/2020;0.0024;319;99369.15;5.46;133.77;0.0193;0.0522;0.0705
09/2020;0.0064;343;94603.38;5.4;136.15;0.0195;0.0593;0.077
10/2020;0.0086;318;93952.4;5.63;138.57;0.0195;0.0634;0.0779
11/2020;0.0089;275;108893.32;5.42;138.47;0.0197;0.064;0.078
12/2020;0.0135;260;119017.24;5.15;139.16;0.0192;0.0542;0.0664
01/2021;0.0025;288;115067.55;5.36;139.86;0.0196;0.0608;0.0724
02/2021;0.0086;299;110035.17;5.42;142.43;0.0226;0.0704;0.0807
03/2021;0.0093;290;116633.72;5.65;137.3;0.0303;0.0792;0.0891
04/2021;0.0031;277;118893.84;5.56;138.59;0.0351;0.0765;0.0865
05/2021;0.0083;262;126215.73;5.29;138.8;0.0397;0.0785;0.0876
06/2021;0.0053;275;126801.66;5.03;139;0.0455;0.0804;0.0871
07/2021;0.0096;300;121800.79;5.16;138.57;0.0525;0.087;0.0921
08/2021;0.0087;304;118781.03;5.25;138.85;0.0585;0.0958;0.1017
09/2021;0.0116;327;110979.1;5.28;138.33;0.0672;0.1034;0.109
10/2021;0.0125;362;103500.71;5.54;138.93;0.0833;0.1214;0.1229
11/2021;0.0095;366;101915.45;5.56;140.13;0.0898;0.1139;0.1141
12/2021;0.0073;326;104822.44;5.65;141;0.0975;0.1053;0.1071
01/2022;0.0054;334;112143.51;5.53;140.18;0.1088;0.112;0.1135
02/2022;0.0101;338;113141.94;5.2;141.46;0.1136;0.1135;0.1148
03/2022;0.0162;294;119999.23;4.97;143.06;0.1209;0.113;0.1137
04/2022;0.0106;306;107876.16;4.76;142.45;0.1266;0.119;0.1196
05/2022;0.0047;300;111350.51;4.96;142.16;0.1304;0.1216;0.1223
06/2022;0.0067;364;98541.95;5.05;143.23;0.1335;0.1261;0.1279
07/2022;-0.0068;305;103164.69;5.37;145.62;0.1363;0.1259;0.1272
08/2022;-0.0036;285;109522.88;5.14;143.97;0.137;0.1178;0.1192
